Date,spread,zscore,long_signal,short_signal,exit_signal
2020-11-12,17.614671832171474,1.5465933707721375,False,False,False
2020-11-13,17.840587078841672,1.6085929526864475,False,False,False
2020-11-16,17.982209778286865,1.5902612640832177,False,False,False
2020-11-17,17.940167542172375,1.4367859484991254,False,False,False
2020-11-18,17.32786619655524,0.8813560352716149,False,False,False
2020-11-19,17.862630511584328,1.2452386622641396,False,False,False
2020-11-20,17.378022435237334,0.8368794332732853,False,False,False
2020-11-23,17.486452789767796,0.8741390445807851,False,False,False
2020-11-24,17.77792001347035,1.0288691318568,False,False,False
2020-11-25,17.455928237337382,0.7259311200093784,False,False,False
2020-11-27,17.117655402093547,0.4173628680468423,False,False,True
2020-11-30,16.108703157738326,-0.4212797582672591,False,False,True
2020-12-01,16.0959260324954,-0.46346638849312516,False,False,True
2020-12-02,16.522736466947748,-0.1281866616751427,False,False,True
2020-12-03,17.23456681641035,0.42685496836225517,False,False,True
2020-12-04,17.9600602375929,0.9786155600951117,False,False,False
2020-12-07,17.218181809653608,0.33342020430990094,False,False,True
2020-12-08,17.37126703840321,0.4220190020287119,False,False,True
2020-12-09,17.479436383764828,0.46904537089415194,False,False,True
2020-12-10,17.450430627670272,0.3925792906877713,False,False,True
2020-12-11,17.676606823607898,0.5457511275241148,False,False,False
2020-12-14,17.778705141380904,0.5926336838832966,False,False,False
2020-12-15,18.215822611224695,0.9778307061493883,False,False,False
2020-12-16,17.40629611739699,0.07353847428270657,False,False,True
2020-12-17,17.414512473120055,0.002994675252117356,False,False,True
2020-12-18,17.584306501569444,0.14013434700865926,False,False,True
2020-12-21,17.030799575845123,-0.8198554415100382,False,False,False
2020-12-22,17.320376505579382,-0.2999797057459533,False,False,True
2020-12-23,17.544411188079827,0.19488991077037296,False,False,True
2020-12-24,17.74446119029767,0.6364273819851293,False,False,False
2020-12-28,18.009223453072664,1.1245141687083864,False,False,False
2020-12-29,17.85372813222392,0.813398249606445,False,False,False
2020-12-30,18.190794014069546,1.4443020811910183,False,False,False
2020-12-31,18.34718063068157,1.6634590775416978,False,False,False
2021-01-04,17.25885793044293,-0.384973352388143,False,False,True
2021-01-05,16.573049767152803,-1.5424577530617694,False,False,False
2021-01-06,15.348602483049653,-3.0045971064062322,True,False,False
2021-01-07,14.901793185324046,-2.9473563617033243,True,False,False
2021-01-08,15.60101098065838,-1.8709097854324925,False,False,False
2021-01-11,15.235304299532935,-2.045174799985945,True,False,False
2021-01-12,15.307714086456294,-1.7892710928797497,False,False,False
2021-01-13,15.07226623373267,-1.894555833292432,False,False,False
2021-01-14,14.346508048585434,-2.319146322016069,True,False,False
2021-01-15,13.907555558955849,-2.3610090915859354,True,False,False
2021-01-19,13.552683786759388,-2.2967395611485237,True,False,False
2021-01-20,13.902318958457592,-1.85090486683343,False,False,False
2021-01-21,14.595567513543763,-1.2839108532102514,False,False,False
2021-01-22,14.386565266970692,-1.3208222738572062,False,False,False
2021-01-25,14.285305131083902,-1.2883411632901496,False,False,False
2021-01-26,14.396664347168944,-1.1371896440918314,False,False,False
2021-01-27,14.561903984060152,-0.9677452656274571,False,False,False
2021-01-28,14.898919032136966,-0.7063942727997412,False,False,False
2021-01-29,14.54363249803238,-0.8704050276490463,False,False,False
2021-02-01,14.772742904810855,-0.6734226312105916,False,False,False
2021-02-02,14.908236173405506,-0.5396409067951299,False,False,False
2021-02-03,14.806824445084857,-0.5571814747191952,False,False,False
2021-02-04,14.638341823593144,-0.6219068165423005,False,False,False
2021-02-05,14.963366468828006,-0.35801196329611484,False,False,True
2021-02-08,15.37116787422859,-0.02741592871428377,False,False,True
2021-02-09,15.348026904822717,0.01397870589343377,False,False,True
2021-02-10,15.71556803991895,0.37728982242597314,False,False,True
2021-02-11,17.08735059200569,1.5804445310142141,False,False,False
2021-02-12,17.748033214172885,2.2228531645844933,False,True,False
2021-02-16,17.202534748879856,1.9361153099984312,False,False,False
2021-02-17,17.042848964612254,1.81509775017418,False,False,False
2021-02-18,17.458923594408823,2.082652903672899,False,True,False
2021-02-19,17.502696396749634,1.9178358657774999,False,False,False
2021-02-22,18.15065278734413,2.174834287226609,False,True,False
2021-02-23,17.866255589435198,1.7830565765396573,False,False,False
2021-02-24,18.20604562652447,1.8395965232710119,False,False,False
2021-02-25,18.18033909798692,1.6669959894207127,False,False,False
2021-02-26,17.199662190183194,0.9611941385424541,False,False,False
2021-03-01,17.757777590116767,1.2327414304735596,False,False,False
2021-03-02,17.847038099276652,1.2071868039911087,False,False,False
2021-03-03,18.201964519939185,1.3499262397300664,False,False,False
2021-03-04,18.238246036813717,1.2895634288971924,False,False,False
2021-03-05,18.054737014298745,1.0942381798363565,False,False,False
2021-03-08,19.126200856992746,1.6562440876277231,False,False,False
2021-03-09,18.316674363165042,1.071235770229969,False,False,False
2021-03-10,18.569393109221004,1.1635370399243103,False,False,False
2021-03-11,18.09798244901559,0.7971512947777285,False,False,False
2021-03-12,17.62227731784401,0.4247668641785898,False,False,True
2021-03-15,18.294734878068276,0.8462785039381708,False,False,False
2021-03-16,18.24358555628244,0.7584286139889842,False,False,False
2021-03-17,18.35955484106716,0.7986016037332162,False,False,False
2021-03-18,17.957772943868534,0.4205305315164608,False,False,True
2021-03-19,17.71300794987637,0.13093992467203003,False,False,True
2021-03-22,17.090960633824935,-0.6374556147933865,False,False,False
2021-03-23,17.072475783416287,-0.8187976771807968,False,False,False
2021-03-24,17.362427399763817,-0.6448857632122409,False,False,False
2021-03-25,17.660644671014232,-0.3528888118014435,False,False,True
2021-03-26,17.92519897859603,0.1143570903924846,False,False,True
2021-03-29,18.21597961284624,0.6698353222517655,False,False,False
2021-03-30,18.074572378185927,0.336167044870489,False,False,True
2021-03-31,17.902790023223638,-0.08801473691405363,False,False,True
2021-04-01,17.744621440801474,-0.4690457051873476,False,False,True
2021-04-05,17.582003605998445,-0.8479494738976144,False,False,False
2021-04-06,17.836504317864545,-0.24540947432116764,False,False,True
2021-04-07,17.99048243686785,0.09655122768711123,False,False,True
2021-04-08,18.044569784191786,0.23353455636837142,False,False,True
2021-04-09,18.09718547405425,0.3617211039141259,False,False,True
2021-04-12,18.15645095871311,0.4469952097121575,False,False,True
2021-04-13,17.889070708547194,-0.21216632813279107,False,False,True
2021-04-14,18.110382830294412,0.3047875264648676,False,False,True
2021-04-15,18.31116872114442,0.7796626014141592,False,False,False
